Kod;Województwo;Powiat;Gmina;Komentarz
16-405;podlaskie;suwalski;Wi¿ajny;
16-406;podlaskie;suwalski;Rutka-Tartak;
16-407;podlaskie;suwalski;Wi¿ajny;
16-411;podlaskie;suwalski;Szypliszki;
16-412;podlaskie;suwalski;Suwa³ki;
16-413;podlaskie;suwalski;Suwa³ki;
16-420;podlaskie;suwalski;Raczki;
16-423;podlaskie;suwalski;Baka³arzewo;
16-424;podlaskie;suwalski;Filipów;
16-427;podlaskie;suwalski;Przeroœl;
16-500;podlaskie;sejneñski;Sejny;
16-503;podlaskie;sejneñski;Krasnopol;
16-506;podlaskie;sejneñski;Giby;
16-515;podlaskie;sejneñski;Puñsk;
17-100;podlaskie;bielski;Bielsk Podlaski;
17-106;podlaskie;bielski;Orla;
17-111;podlaskie;bielski;Boæki;
17-120;podlaskie;bielski;Brañsk;
17-123;podlaskie;bielski;Rudka;
17-132;podlaskie;bielski;Wyszki;
17-200;podlaskie;hajnowski;Hajnówka;
17-204;podlaskie;hajnowski;Dubicze Cerkiewne;
17-207;podlaskie;hajnowski;Czy¿e;
17-210;podlaskie;hajnowski;Narew;
17-220;podlaskie;hajnowski;Narewka;
17-230;podlaskie;hajnowski;Bia³owie¿a;
17-240;podlaskie;hajnowski;Czeremcha;
17-250;podlaskie;hajnowski;Kleszczele;
17-300;podlaskie;siemiatycki;Siemiatycze;
17-306;podlaskie;siemiatycki;Dziadkowice;
17-307;podlaskie;siemiatycki;Mielnik;
17-312;podlaskie;siemiatycki;Drohiczyn;
17-315;podlaskie;siemiatycki;Grodzisk;
17-322;podlaskie;siemiatycki;Perlejewo;
17-330;podlaskie;siemiatycki;Nurzec-Stacja;
17-332;podlaskie;siemiatycki;Milejczyce;
18-100;podlaskie;bia³ostocki;£apy;
18-105;podlaskie;bia³ostocki;Sura¿;
18-106;podlaskie;bia³ostocki;Turoœñ Koœcielna;
18-112;podlaskie;bia³ostocki;Poœwiêtne;
18-200;podlaskie;wysokomazowiecki;Wysokie Mazowieckie;
18-204;podlaskie;wysokomazowiecki;Kobylin-Borzymy;
18-208;podlaskie;wysokomazowiecki;Kulesze Koœcielne;
18-210;podlaskie;wysokomazowiecki;Szepietowo;
18-212;podlaskie;wysokomazowiecki;Nowe Piekuty;
18-214;podlaskie;wysokomazowiecki;Klukowo;
18-218;podlaskie;wysokomazowiecki;Soko³y;
18-220;podlaskie;wysokomazowiecki;Czy¿ew;
18-230;podlaskie;wysokomazowiecki;Ciechanowiec;
18-300;podlaskie;zambrowski;Zambrów;
18-305;podlaskie;zambrowski;Szumowo;
18-312;podlaskie;zambrowski;Rutki;
18-315;podlaskie;zambrowski;Ko³aki Koœcielne;
18-400;podlaskie;³om¿yñski;£om¿a;
18-411;podlaskie;³om¿yñski;Œniadowo;
18-413;podlaskie;³om¿yñski;Miastkowo;
18-414;podlaskie;³om¿yñski;Nowogród;
18-416;podlaskie;³om¿yñski;Zbójna;
18-420;podlaskie;³om¿yñski;Jedwabne;
18-421;podlaskie;³om¿yñski;Pi¹tnica;
18-423;podlaskie;³om¿yñski;Przytu³y;
18-430;podlaskie;³om¿yñski;Wizna;
18-500;podlaskie;kolneñski;Kolno;
18-507;podlaskie;kolneñski;Grabowo;
18-516;podlaskie;kolneñski;Ma³y P³ock;
18-520;podlaskie;kolneñski;Stawiski;
18-525;podlaskie;kolneñski;Turoœl;
19-100;podlaskie;moniecki;Moñki;
19-104;podlaskie;moniecki;Jasionówka;
19-110;podlaskie;moniecki;Goni¹dz;
19-111;podlaskie;moniecki;Krypno;
19-120;podlaskie;moniecki;Knyszyn;
19-122;podlaskie;moniecki;Trzcianne;
19-124;podlaskie;moniecki;Jaœwi³y;
19-200;podlaskie;grajewski;Grajewo;
19-206;podlaskie;grajewski;Rajgród;
19-213;podlaskie;grajewski;Radzi³ów;
19-222;podlaskie;grajewski;W¹sosz;
19-230;podlaskie;grajewski;Szczuczyn;
19-300;warmiñsko-mazurskie;e³cki;E³k;
19-301;warmiñsko-mazurskie;e³cki;E³k;
19-311;warmiñsko-mazurskie;e³cki;E³k;
19-313;warmiñsko-mazurskie;e³cki;Kalinowo;
19-314;warmiñsko-mazurskie;e³cki;Kalinowo;
19-321;warmiñsko-mazurskie;e³cki;E³k;
19-324;warmiñsko-mazurskie;e³cki;Stare Juchy;
19-325;warmiñsko-mazurskie;e³cki;E³k;
19-326;warmiñsko-mazurskie;e³cki;Prostki;
19-330;warmiñsko-mazurskie;e³cki;Stare Juchy;
19-335;warmiñsko-mazurskie;e³cki;Prostki;
19-400;warmiñsko-mazurskie;olecki;Olecko;
19-404;warmiñsko-mazurskie;olecki;Wieliczki;
19-411;warmiñsko-mazurskie;olecki;Œwiêtajno;
19-420;warmiñsko-mazurskie;olecki;Kowale Oleckie;
19-500;warmiñsko-mazurskie;go³dapski;Go³dap;
19-504;warmiñsko-mazurskie;go³dapski;Dubeninki;
19-506;warmiñsko-mazurskie;go³dapski;Go³dap;
19-507;warmiñsko-mazurskie;go³dapski;Go³dap;
19-520;warmiñsko-mazurskie;go³dapski;Banie Mazurskie;
20-001;lubelskie;Lublin;Lublin;ca³e miasto jako 1 kszta³t
20-258;lubelskie;lubelski;Wólka;
20-388;lubelskie;lubelski;G³usk;
20-515;lubelskie;lubelski;Konopnica;
20-823;lubelskie;lubelski;Jastków;
21-002;lubelskie;lubelski;Jastków;
21-003;lubelskie;lubelski;Niemce;
21-007;lubelskie;œwidnicki;Me³giew;
21-008;lubelskie;lubelski;Jastków;
21-010;lubelskie;³êczyñski;£êczna;
21-013;lubelskie;³êczyñski;Puchaczów;
21-020;lubelskie;³êczyñski;Milejów;
21-025;lubelskie;lubelski;Niemce;
21-030;lubelskie;lubelski;Konopnica;
21-040;lubelskie;œwidnicki;Me³giew;
21-044;lubelskie;œwidnicki;Trawniki;
21-050;lubelskie;œwidnicki;Piaski;
21-060;lubelskie;krasnostawski;Fajs³awice;
21-065;lubelskie;œwidnicki;Rybczewice;
21-070;lubelskie;³êczyñski;Cyców;
21-075;lubelskie;³êczyñski;Ludwin;
21-077;lubelskie;³êczyñski;Spiczyn;
21-080;lubelskie;lubelski;Garbów;
21-100;lubelskie;lubartowski;Lubartów;
21-102;lubelskie;lubartowski;Ostrówek;
21-104;lubelskie;lubartowski;NiedŸwiada;
21-107;lubelskie;lubartowski;Serniki;
21-109;lubelskie;lubartowski;Uœcimów;
21-110;lubelskie;lubartowski;Ostrów Lubelski;
21-132;lubelskie;lubartowski;Kamionka;
21-136;lubelskie;lubartowski;Firlej;
21-140;lubelskie;lubartowski;Michów;
21-143;lubelskie;lubartowski;Abramów;
21-146;lubelskie;lubartowski;Jeziorzany;
21-150;lubelskie;lubartowski;Kock;
21-200;lubelskie;parczewski;Parczew;
21-205;lubelskie;parczewski;Jab³oñ;
21-210;lubelskie;parczewski;Milanów;
21-211;lubelskie;parczewski;Dêbowa K³oda;
21-220;lubelskie;parczewski;Siemieñ;
21-222;lubelskie;parczewski;Podedwórze;
21-230;lubelskie;parczewski;Sosnowica;
21-300;lubelskie;radzyñski;Radzyñ Podlaski;
21-302;lubelskie;radzyñski;K¹kolewnica;
21-305;lubelskie;radzyñski;Wohyñ;
21-306;lubelskie;radzyñski;Czemierniki;
21-307;lubelskie;radzyñski;Ulan-Majorat;
21-310;lubelskie;radzyñski;Wohyñ;
21-311;lubelskie;radzyñski;Komarówka Podlaska;
21-345;lubelskie;radzyñski;Borki;
21-400;lubelskie;³ukowski;£uków;
21-404;lubelskie;³ukowski;Trzebieszów;
21-411;lubelskie;³ukowski;Wojcieszków;
21-412;lubelskie;³ukowski;Adamów;
21-413;lubelskie;³ukowski;Serokomla;
21-421;lubelskie;³ukowski;Stanin;
21-422;lubelskie;³ukowski;Stanin;
21-426;lubelskie;³ukowski;Wola Mys³owska;
21-450;lubelskie;³ukowski;Stoczek £ukowski;
21-470;lubelskie;³ukowski;Krzywda;
21-480;lubelskie;³ukowski;Krzywda;
21-500;lubelskie;bialski;Bia³a Podlaska;
21-504;lubelskie;bialski;Rokitno;
21-505;lubelskie;bialski;Janów Podlaski;
21-509;lubelskie;bialski;Kodeñ;
21-512;lubelskie;bialski;Zalesie;
21-515;lubelskie;bialski;S³awatycze;
21-518;lubelskie;bialski;Sosnówka;
21-523;lubelskie;bialski;Tuczna;
21-526;lubelskie;bialski;S³awatycze;
21-530;lubelskie;bialski;Piszczac;
21-532;lubelskie;bialski;£omazy;
21-533;lubelskie;bialski;Rossosz;
21-536;lubelskie;bialski;Bia³a Podlaska;
21-540;lubelskie;bialski;Terespol;
21-542;lubelskie;bialski;Leœna Podlaska;
21-543;lubelskie;bialski;Konstantynów;
21-550;lubelskie;bialski;Terespol;
21-560;lubelskie;bialski;Miêdzyrzec Podlaski;
21-564;lubelskie;bialski;Miêdzyrzec Podlaski;
21-570;lubelskie;bialski;Drelów;
21-580;lubelskie;bialski;Wisznice;
22-100;lubelskie;che³mski;Che³m;
22-105;lubelskie;che³mski;Che³m;
22-106;lubelskie;che³mski;Sawin;
22-107;lubelskie;che³mski;Sawin;
22-110;lubelskie;che³mski;Ruda-Huta;
22-113;lubelskie;che³mski;Kamieñ;
22-114;lubelskie;che³mski;¯mudŸ;
22-120;lubelskie;che³mski;Wojs³awice;
22-121;lubelskie;che³mski;Che³m;
22-122;lubelskie;che³mski;Leœniowice;
22-130;lubelskie;che³mski;Siedliszcze;
22-133;lubelskie;che³mski;Siedliszcze;
22-135;lubelskie;che³mski;Bia³opole;
22-145;lubelskie;che³mski;Dubienka;
22-150;lubelskie;che³mski;Wierzbica;
22-151;lubelskie;che³mski;Che³m;
22-170;lubelskie;che³mski;Rejowiec Fabryczny;
22-171;lubelskie;che³mski;Rejowiec Fabryczny;
22-172;lubelskie;che³mski;Rejowiec Fabryczny;
22-174;lubelskie;che³mski;Dorohusk;
22-175;lubelskie;che³mski;Dorohusk;
22-200;lubelskie;w³odawski;W³odawa;
22-205;lubelskie;w³odawski;Wyryki;
22-206;lubelskie;w³odawski;Wyryki;
22-207;lubelskie;w³odawski;W³odawa;
22-211;lubelskie;w³odawski;W³odawa;
22-220;lubelskie;w³odawski;Hanna;
22-230;lubelskie;w³odawski;Wola Uhruska;
22-234;lubelskie;w³odawski;Urszulin;
22-235;lubelskie;w³odawski;Hañsk;
22-244;lubelskie;w³odawski;Stary Brus;
22-300;lubelskie;krasnostawski;Krasnystaw;
22-302;lubelskie;krasnostawski;Krasnystaw;
22-304;lubelskie;krasnostawski;Siennica Ró¿ana;
22-310;lubelskie;krasnostawski;Kraœniczyn;
22-315;lubelskie;krasnostawski;Gorzków;
22-330;lubelskie;krasnostawski;Rudnik;
22-335;lubelskie;krasnostawski;¯ó³kiewka;
22-351;lubelskie;krasnostawski;£opiennik Górny;
22-360;lubelskie;che³mski;Rejowiec;
22-363;lubelskie;che³mski;Rejowiec;
22-375;lubelskie;krasnostawski;Izbica;
22-376;lubelskie;krasnostawski;Izbica;
22-400;lubelskie;Zamoœæ;Zamoœæ;
22-413;lubelskie;zamojski;Nielisz;
22-417;lubelskie;zamojski;Stary Zamoœæ;
22-420;lubelskie;zamojski;Skierbieszów;
22-424;lubelskie;zamojski;Sitno;
22-425;lubelskie;zamojski;Grabowiec;
22-435;lubelskie;zamojski;Komarów-Osada;
22-437;lubelskie;zamojski;£abunie;
22-440;lubelskie;zamojski;Krasnobród;
22-442;lubelskie;zamojski;Adamów;
22-448;lubelskie;zamojski;Su³ów;
22-455;lubelskie;zamojski;Mi¹czyn;
22-460;lubelskie;zamojski;Szczebrzeszyn;
22-463;lubelskie;zamojski;Radecznica;
22-470;lubelskie;zamojski;Zwierzyniec;
22-500;lubelskie;hrubieszowski;Hrubieszów;
22-510;lubelskie;hrubieszowski;Uchanie;
22-523;lubelskie;hrubieszowski;Horod³o;
22-525;lubelskie;hrubieszowski;Horod³o;
22-530;lubelskie;hrubieszowski;Mircze;
22-540;lubelskie;hrubieszowski;Do³hobyczów;
22-546;lubelskie;hrubieszowski;Werbkowice;
22-550;lubelskie;hrubieszowski;Werbkowice;
22-554;lubelskie;hrubieszowski;Trzeszczany;
22-600;lubelskie;tomaszowski;Tomaszów Lubelski;
22-604;lubelskie;tomaszowski;Tarnawatka;
22-610;lubelskie;tomaszowski;Krynice;
22-630;lubelskie;tomaszowski;Tyszowce;
22-640;lubelskie;tomaszowski;Rachanie;
22-650;lubelskie;tomaszowski;£aszczów;
22-652;lubelskie;tomaszowski;Telatyn;
22-664;lubelskie;tomaszowski;Jarczów;
22-670;lubelskie;tomaszowski;Be³¿ec;
22-672;lubelskie;tomaszowski;Susiec;
22-678;lubelskie;tomaszowski;Ulhówek;
22-680;lubelskie;tomaszowski;Lubycza Królewska;
23-100;lubelskie;lubelski;Bychawa;
23-107;lubelskie;lubelski;Strzy¿ewice;
23-110;lubelskie;lubelski;Krzczonów;
23-114;lubelskie;lubelski;Jab³onna;
23-145;lubelskie;lubelski;Wysokie;
23-155;lubelskie;lubelski;Zakrzew;
23-200;lubelskie;kraœnicki;Kraœnik;
23-204;lubelskie;kraœnicki;Kraœnik;
23-206;lubelskie;kraœnicki;Kraœnik;
23-212;lubelskie;kraœnicki;Wilko³az;
23-213;lubelskie;kraœnicki;Zakrzówek;
23-225;lubelskie;kraœnicki;Szastarka;
23-230;lubelskie;kraœnicki;Trzydnik Du¿y;
23-235;lubelskie;kraœnicki;Annopol;
23-250;lubelskie;kraœnicki;Urzêdów;
23-251;lubelskie;kraœnicki;Dzierzkowice;
23-275;lubelskie;kraœnicki;Goœcieradów;
23-300;lubelskie;janowski;Janów Lubelski;
23-302;lubelskie;janowski;Godziszów;
23-304;lubelskie;janowski;Dzwola;
23-305;lubelskie;janowski;Chrzanów;
23-310;lubelskie;janowski;Modliborzyce;
23-313;lubelskie;janowski;Potok Wielki;
23-320;lubelskie;janowski;Batorz;
23-400;lubelskie;bi³gorajski;Bi³goraj;
23-407;lubelskie;bi³gorajski;Tereszpol;
23-408;lubelskie;bi³gorajski;Aleksandrów;
23-412;lubelskie;bi³gorajski;£ukowa;
23-413;lubelskie;bi³gorajski;Obsza;
23-414;lubelskie;bi³gorajski;Ksiê¿pol;
23-415;lubelskie;bi³gorajski;Ksiê¿pol;
23-420;lubelskie;bi³gorajski;Tarnogród;
23-423;lubelskie;bi³gorajski;Potok Górny;
23-425;lubelskie;bi³gorajski;Biszcza;
23-440;lubelskie;bi³gorajski;Frampol;
23-450;lubelskie;bi³gorajski;Goraj;
23-460;lubelskie;bi³gorajski;Józefów;
23-465;lubelskie;bi³gorajski;Turobin;
24-100;lubelskie;pu³awski;Pu³awy;
24-103;lubelskie;pu³awski;¯yrzyn;
24-105;lubelskie;pu³awski;Baranów;
24-120;lubelskie;pu³awski;Kazimierz Dolny;
24-123;lubelskie;pu³awski;Janowiec;
24-130;lubelskie;pu³awski;Koñskowola;
24-150;lubelskie;pu³awski;Na³êczów;
24-160;lubelskie;pu³awski;W¹wolnica;
24-170;lubelskie;pu³awski;Kurów;
24-173;lubelskie;pu³awski;Markuszów;
24-200;lubelskie;lubelski;Be³¿yce;
24-204;lubelskie;lubelski;Wojciechów;
24-220;lubelskie;lubelski;Niedrzwica Du¿a;
24-224;lubelskie;lubelski;Borzechów;
24-300;lubelskie;opolski;Opole Lubelskie;
24-310;lubelskie;opolski;Karczmiska;
24-313;lubelskie;opolski;Wilków;
24-320;lubelskie;opolski;Poniatowa;
24-335;lubelskie;opolski;£aziska;
24-340;lubelskie;opolski;Józefów nad Wis³¹;
24-350;lubelskie;opolski;Chodel;
25-001;œwiêtokrzyskie;Kielce;Kielce;ca³e miasto jako 1 kszta³t
25-090;œwiêtokrzyskie;kielecki;Morawica;
26-001;œwiêtokrzyskie;kielecki;Mas³ów;
26-004;œwiêtokrzyskie;kielecki;Bieliny;
26-006;œwiêtokrzyskie;kielecki;Nowa S³upia;
26-008;œwiêtokrzyskie;kielecki;Górno;
26-010;œwiêtokrzyskie;kielecki;Bodzentyn;
26-015;œwiêtokrzyskie;kielecki;Pierzchnica;
26-020;œwiêtokrzyskie;kielecki;Chmielnik;
26-021;œwiêtokrzyskie;kielecki;Daleszyce;
26-025;œwiêtokrzyskie;kielecki;£agów;
26-026;œwiêtokrzyskie;kielecki;Morawica;
26-035;œwiêtokrzyskie;kielecki;Raków;
26-050;œwiêtokrzyskie;kielecki;Zagnañsk;
26-052;œwiêtokrzyskie;kielecki;Sitkówka-Nowiny;
26-060;œwiêtokrzyskie;kielecki;Chêciny;
26-065;œwiêtokrzyskie;kielecki;Piekoszów;
26-067;œwiêtokrzyskie;kielecki;Strawczyn;
26-070;œwiêtokrzyskie;kielecki;£opuszno;
26-080;œwiêtokrzyskie;kielecki;Mniów;
26-085;œwiêtokrzyskie;kielecki;Miedziana Góra;
26-110;œwiêtokrzyskie;skar¿yski;Skar¿ysko-Kamienna;
26-115;œwiêtokrzyskie;skar¿yski;Skar¿ysko Koœcielne;
26-120;œwiêtokrzyskie;skar¿yski;Bli¿yn;
26-130;œwiêtokrzyskie;skar¿yski;Suchedniów;
26-140;œwiêtokrzyskie;skar¿yski;£¹czna;
26-200;œwiêtokrzyskie;konecki;Koñskie;
26-212;œwiêtokrzyskie;konecki;Smyków;
26-220;œwiêtokrzyskie;konecki;St¹porków;
26-225;œwiêtokrzyskie;konecki;Gowarczów;
26-230;œwiêtokrzyskie;konecki;Radoszyce;
26-234;œwiêtokrzyskie;konecki;S³upia Konecka;
26-242;œwiêtokrzyskie;konecki;Ruda Maleniecka;
26-260;œwiêtokrzyskie;konecki;Fa³ków;
26-300;³ódzkie;opoczyñski;Opoczno;
26-307;³ódzkie;opoczyñski;Bia³aczów;
26-315;³ódzkie;opoczyñski;Poœwiêtne;
26-330;³ódzkie;opoczyñski;¯arnów;
26-332;³ódzkie;opoczyñski;S³awno;
26-333;³ódzkie;opoczyñski;Parady¿;
26-337;³ódzkie;piotrkowski;Aleksandrów;
26-340;³ódzkie;opoczyñski;Drzewica;
26-341;³ódzkie;opoczyñski;Mniszków;
26-400;mazowieckie;przysuski;Przysucha;
26-411;mazowieckie;przysuski;Rusinów;
26-414;mazowieckie;przysuski;Potworów;
26-415;mazowieckie;przysuski;Klwów;
26-420;mazowieckie;grójecki;Nowe Miasto nad Pilic¹;
26-422;mazowieckie;przysuski;Borkowice;
26-425;mazowieckie;przysuski;Odrzywó³;
26-432;mazowieckie;przysuski;Wieniawa;
26-434;mazowieckie;przysuski;Gielniów;
26-500;mazowieckie;szyd³owiecki;Szyd³owiec;
26-502;mazowieckie;szyd³owiecki;Jastrz¹b;
26-503;mazowieckie;szyd³owiecki;Mirów;
26-505;mazowieckie;szyd³owiecki;Oroñsko;
26-510;mazowieckie;szyd³owiecki;Chlewiska;
26-601;mazowieckie;Radom;Radom;
26-603;mazowieckie;Radom;Radom;
26-604;mazowieckie;Radom;Radom;
26-605;mazowieckie;Radom;Radom;
26-606;mazowieckie;Radom;Radom;
26-609;mazowieckie;Radom;Radom;
26-610;mazowieckie;Radom;Radom;
26-611;mazowieckie;Radom;Radom;
26-612;mazowieckie;Radom;Radom;
26-613;mazowieckie;Radom;Radom;
26-615;mazowieckie;Radom;Radom;
26-616;mazowieckie;Radom;Radom;
26-617;mazowieckie;Radom;Radom;
26-620;mazowieckie;Radom;Radom;
26-624;mazowieckie;radomski;Kowala;
26-625;mazowieckie;radomski;Wolanów;
26-630;mazowieckie;radomski;Jedlnia-Letnisko;
26-631;mazowieckie;radomski;Jastrzêbia;
26-634;mazowieckie;radomski;Gózd;
26-640;mazowieckie;radomski;Skaryszew;
26-650;mazowieckie;radomski;Przytyk;
26-652;mazowieckie;radomski;Zakrzew;
26-660;mazowieckie;radomski;Jedliñsk;
26-670;mazowieckie;radomski;Pionki;
26-680;mazowieckie;radomski;Wierzbica;
26-700;mazowieckie;zwoleñski;Zwoleñ;
26-704;mazowieckie;zwoleñski;Przy³êk;
26-706;mazowieckie;zwoleñski;Tczów;
26-713;mazowieckie;zwoleñski;Kazanów;
26-720;mazowieckie;zwoleñski;Policzna;
26-800;mazowieckie;bia³obrzeski;Bia³obrzegi;
26-803;mazowieckie;bia³obrzeski;Promna;
26-804;mazowieckie;bia³obrzeski;Stromiec;
26-806;mazowieckie;bia³obrzeski;Stara B³otnica;
26-807;mazowieckie;bia³obrzeski;Radzanów;
26-811;mazowieckie;bia³obrzeski;Wyœmierzyce;
26-900;mazowieckie;kozienicki;Kozienice;
26-902;mazowieckie;kozienicki;Grabów nad Pilic¹;
26-903;mazowieckie;kozienicki;G³owaczów;
26-910;mazowieckie;kozienicki;Magnuszew;
26-914;mazowieckie;kozienicki;Magnuszew;
26-920;mazowieckie;kozienicki;Gniewoszów;
26-922;mazowieckie;kozienicki;Sieciechów;
26-930;mazowieckie;kozienicki;Garbatka-Letnisko;
27-100;mazowieckie;radomski;I³¿a;
27-200;œwiêtokrzyskie;starachowicki;Starachowice;
27-215;œwiêtokrzyskie;starachowicki;W¹chock;
27-220;œwiêtokrzyskie;starachowicki;Mirzec;
27-225;œwiêtokrzyskie;starachowicki;Paw³ów;
27-230;œwiêtokrzyskie;starachowicki;Brody;
27-300;mazowieckie;lipski;Lipsko;
27-310;mazowieckie;lipski;Ciepielów;
27-312;mazowieckie;lipski;Chotcza;
27-320;mazowieckie;lipski;Solec nad Wis³¹;
27-350;mazowieckie;lipski;Sienno;
27-353;mazowieckie;lipski;Rzeczniów;
27-400;œwiêtokrzyskie;ostrowiecki;Bodzechów;
27-415;œwiêtokrzyskie;ostrowiecki;Kunów;
27-420;œwiêtokrzyskie;ostrowiecki;Bodzechów;
27-423;œwiêtokrzyskie;ostrowiecki;Ba³tów;
27-425;œwiêtokrzyskie;ostrowiecki;Waœniów;
27-440;œwiêtokrzyskie;ostrowiecki;Æmielów;
27-500;œwiêtokrzyskie;opatowski;Opatów;
27-515;œwiêtokrzyskie;opatowski;Tar³ów;
27-530;œwiêtokrzyskie;opatowski;O¿arów;
27-532;œwiêtokrzyskie;opatowski;Wojciechowice;
27-540;œwiêtokrzyskie;opatowski;Lipnik;
27-545;œwiêtokrzyskie;opatowski;Lipnik;
27-552;œwiêtokrzyskie;opatowski;Baækowice;
27-570;œwiêtokrzyskie;opatowski;Iwaniska;
27-580;œwiêtokrzyskie;opatowski;Sadowie;
27-600;œwiêtokrzyskie;sandomierski;Dwikozy;
27-612;œwiêtokrzyskie;sandomierski;Wilczyce;
27-620;œwiêtokrzyskie;sandomierski;Dwikozy;
27-630;œwiêtokrzyskie;sandomierski;Zawichost;
27-640;œwiêtokrzyskie;sandomierski;Klimontów;
27-641;œwiêtokrzyskie;sandomierski;Obrazów;
27-650;œwiêtokrzyskie;sandomierski;Samborzec;
27-660;œwiêtokrzyskie;sandomierski;Koprzywnica;
27-670;œwiêtokrzyskie;sandomierski;£oniów;
28-100;œwiêtokrzyskie;buski;Busko-Zdrój;
28-114;œwiêtokrzyskie;buski;Gnojno;
28-130;œwiêtokrzyskie;buski;Stopnica;
28-131;œwiêtokrzyskie;buski;Solec-Zdrój;
28-133;œwiêtokrzyskie;buski;Pacanów;
28-136;œwiêtokrzyskie;buski;Nowy Korczyn;
28-142;œwiêtokrzyskie;buski;Tuczêpy;
28-160;œwiêtokrzyskie;buski;Wiœlica;
28-200;œwiêtokrzyskie;staszowski;Staszów;
28-210;œwiêtokrzyskie;staszowski;Bogoria;
28-220;œwiêtokrzyskie;staszowski;Oleœnica;
28-221;œwiêtokrzyskie;staszowski;Osiek;
28-225;œwiêtokrzyskie;staszowski;Szyd³ów;
28-230;œwiêtokrzyskie;staszowski;Po³aniec;
28-232;œwiêtokrzyskie;staszowski;£ubnice;
28-236;œwiêtokrzyskie;staszowski;Rytwiany;
28-300;œwiêtokrzyskie;jêdrzejowski;Jêdrzejów;
28-305;œwiêtokrzyskie;jêdrzejowski;Sobków;
28-313;œwiêtokrzyskie;jêdrzejowski;Imielno;
28-330;œwiêtokrzyskie;jêdrzejowski;Wodzis³aw;
28-340;œwiêtokrzyskie;jêdrzejowski;Sêdziszów;
28-350;œwiêtokrzyskie;jêdrzejowski;S³upia (Jêdrzejowska);
28-362;œwiêtokrzyskie;jêdrzejowski;Nag³owice;
28-363;œwiêtokrzyskie;jêdrzejowski;Oksa;
28-366;œwiêtokrzyskie;jêdrzejowski;Ma³ogoszcz;
28-400;œwiêtokrzyskie;piñczowski;Piñczów;
28-404;œwiêtokrzyskie;piñczowski;Kije;
28-411;œwiêtokrzyskie;piñczowski;Micha³ów;
28-425;œwiêtokrzyskie;piñczowski;Z³ota;
28-440;œwiêtokrzyskie;piñczowski;Dzia³oszyce;
28-500;œwiêtokrzyskie;kazimierski;Kazimierza Wielka;
28-506;œwiêtokrzyskie;kazimierski;Czarnocin;
28-512;œwiêtokrzyskie;kazimierski;Bejsce;
28-520;œwiêtokrzyskie;kazimierski;Opatowiec;
28-530;œwiêtokrzyskie;kazimierski;Skalbmierz;
29-100;œwiêtokrzyskie;w³oszczowski;W³oszczowa;
29-105;œwiêtokrzyskie;w³oszczowski;Krasocin;
29-120;œwiêtokrzyskie;w³oszczowski;Kluczewsko;
29-130;œwiêtokrzyskie;w³oszczowski;Moskorzew;
29-135;œwiêtokrzyskie;w³oszczowski;Radków;
29-145;œwiêtokrzyskie;w³oszczowski;Secemin;
30-001;ma³opolskie;Kraków;Kraków;ca³e miasto jako 1 kszta³t
30-199;ma³opolskie;krakowski;Zabierzów;
32-002;ma³opolskie;wielicki;Wieliczka;
32-003;ma³opolskie;wielicki;Niepo³omice;
32-005;ma³opolskie;wielicki;Niepo³omice;
32-007;ma³opolskie;wielicki;Niepo³omice;
32-010;ma³opolskie;krakowski;Kocmyrzów-Luborzyca;
32-014;ma³opolskie;wielicki;K³aj;
32-015;ma³opolskie;wielicki;K³aj;
32-020;ma³opolskie;wielicki;Wieliczka;
32-031;ma³opolskie;krakowski;Mogilany;
32-040;ma³opolskie;krakowski;Œwi¹tniki Górne;
32-043;ma³opolskie;krakowski;Ska³a;
32-045;ma³opolskie;krakowski;Su³oszowa;
32-046;ma³opolskie;krakowski;Ska³a;
32-047;ma³opolskie;krakowski;Ska³a;
32-048;ma³opolskie;krakowski;Jerzmanowice-Przeginia;
32-049;ma³opolskie;krakowski;Jerzmanowice-Przeginia;
32-050;ma³opolskie;krakowski;Skawina;
32-051;ma³opolskie;krakowski;Skawina;
32-052;ma³opolskie;krakowski;Skawina;
32-053;ma³opolskie;krakowski;Skawina;
32-060;ma³opolskie;krakowski;Liszki;
32-061;ma³opolskie;krakowski;Czernichów;
32-064;ma³opolskie;krakowski;Zabierzów;
32-065;ma³opolskie;krakowski;Krzeszowice;
32-067;ma³opolskie;krakowski;Krzeszowice;
32-070;ma³opolskie;krakowski;Czernichów;
32-071;ma³opolskie;krakowski;Czernichów;
32-075;ma³opolskie;miechowski;Go³cza;
32-077;ma³opolskie;krakowski;Ska³a;
32-080;ma³opolskie;krakowski;Zabierzów;
32-082;ma³opolskie;krakowski;Zabierzów;
32-083;ma³opolskie;krakowski;Zabierzów;
32-084;ma³opolskie;krakowski;Liszki;
32-085;ma³opolskie;krakowski;Wielka Wieœ;
32-086;ma³opolskie;krakowski;Zielonki;
32-087;ma³opolskie;krakowski;Zielonki;
32-088;ma³opolskie;krakowski;Zielonki;
32-089;ma³opolskie;krakowski;Wielka Wieœ;
32-090;ma³opolskie;krakowski;S³omniki;
32-091;ma³opolskie;krakowski;Micha³owice;
32-095;ma³opolskie;krakowski;Iwanowice;
32-100;ma³opolskie;proszowicki;Proszowice;
32-104;ma³opolskie;proszowicki;Koniusza;
32-107;ma³opolskie;proszowicki;Radziemice;
32-109;ma³opolskie;proszowicki;Pa³ecznica;
32-112;ma³opolskie;proszowicki;Proszowice;
